Region,2005,2007,2009,2011,2013,2015,2017
Capital District,29907,30490,30463,32148,33051,34233,38160
Central New York,25356,25225,26832,29294,29476,31323,32432
Finger Lakes,27383,27873,27510,30655,30204,31621,32966
Hudson Valley,32883,33636,33988,34291,34993,36329,38788
Long Island,39813,39593,39652,41176,41087,43155,45580
Mohawk Valley,24987,24453,27956,28625,27455,29808,32039
New York City,34708,35227,35515,35558,36588,38384,40949
North Country,24829,23050,23133,25169,25887,25586,28399
Southern Tier,22636,23026,23590,27361,27151,27957,28250
Western New York,24241,25752,24529,26243,26441,28395,30032
NY State,30983,31263,31901,32288,33062,35580,37392
USA,27299,28640,28365,29538,30454,31394,33646
