Region,Year,bach_or_higher
Capital District,2005,28.8
Capital District,2007,30
Capital District,2009,30.3
Capital District,2011,32.1
Capital District,2013,31.7
Capital District,2015,32.3
Capital District,2017,34.3
Central New York,2005,20.7
Central New York,2007,21.6
Central New York,2009,22.6
Central New York,2011,23.2
Central New York,2013,24.5
Central New York,2015,24.1
Central New York,2017,25.2
Finger Lakes,2005,27.9
Finger Lakes,2007,26.9
Finger Lakes,2009,27.9
Finger Lakes,2011,27.5
Finger Lakes,2013,28.9
Finger Lakes,2015,29.2
Finger Lakes,2017,31.2
Hudson Valley,2005,30.3
Hudson Valley,2007,31.8
Hudson Valley,2009,30.9
Hudson Valley,2011,31.5
Hudson Valley,2013,32.1
Hudson Valley,2015,32.6
Hudson Valley,2017,34.8
Long Island,2005,35
Long Island,2007,35.6
Long Island,2009,35.3
Long Island,2011,36.4
Long Island,2013,37.5
Long Island,2015,38.1
Long Island,2017,40.1
Mohawk Valley,2005,19.2
Mohawk Valley,2007,20.5
Mohawk Valley,2009,19.4
Mohawk Valley,2011,20.5
Mohawk Valley,2013,21.9
Mohawk Valley,2015,22.3
Mohawk Valley,2017,23.6
New York City,2005,30.8
New York City,2007,31.6
New York City,2009,32.4
New York City,2011,32.3
New York City,2013,33.5
New York City,2015,34.4
New York City,2017,35
North Country,2005,20.8
North Country,2007,19.2
North Country,2009,19.3
North Country,2011,20.4
North Country,2013,20.3
North Country,2015,21.6
North Country,2017,23.4
Southern Tier,2005,27.4
Southern Tier,2007,28.1
Southern Tier,2009,27.8
Southern Tier,2011,27.7
Southern Tier,2013,28.5
Southern Tier,2015,31.4
Southern Tier,2017,29.9
Western New York,2005,19.8
Western New York,2007,21.1
Western New York,2009,21.1
Western New York,2011,21.7
Western New York,2013,21.8
Western New York,2015,22.1
Western New York,2017,24.8
NY State,2005,31.3
NY State,2007,31.7
NY State,2009,32.4
NY State,2011,32.9
NY State,2013,34.1
NY State,2015,35
NY State,2017,36
USA,2005,27.2
USA,2007,27.5
USA,2009,27.9
USA,2011,28.5
USA,2013,29.6
USA,2015,30.6
USA,2017,32
